property_ID,Listing_ID,price,baths_half,baths_full,baths,beds,size_in_sqft,lot_size_in_sqft,prop_type,prop_sub_type,city,Line,postal_code,lat,lon,neighborhood_name,Listing_Url,thumbnail,LatLong,Num_bars,Mean_Rating_bars,Mean_PriceLevel_bars,Top_5_Rated_bars,Num_restaurants,Mean_Rating_restaurants,Mean_PriceLevel_restaurants,Top_5_Rated_restaurants
M5796383163,2922271837,740000,,2.0,2,3.0,1812.0,6000.0,single_family,,Arlington,5721 7th St N,22205,38.873326,-77.130672,Bluemont,https://www.realtor.com/realestateandhomes-detail/5721-7th-St-N_Arlington_VA_22205_M57963-83163,https://ap.rdcpix.com/d432c9295cf2c187c588e084cfecf386l-m1095289745x.jpg,"38.873326,-77.130672",9.0,3.9555555555555557,2.0,Crystal Thai Restaurant; Meridian Pint; Crafthouse; Mussel Bar & Grille; The Forest Inn,37.0,4.041666666666668,1.5483870967741935,The Italian Store; La Union Restaurant; Pupatella; Stageplate Bistro - Arlington; Chick-fil-A
M5450293285,2922268627,475000,,2.0,2,2.0,745.0,,condo,condos,Arlington,3007 S Buchanan St Apt A1,22206,38.838190000000004,-77.09898000000001,Fairlington,https://www.realtor.com/realestateandhomes-detail/3007-S-Buchanan-St-Apt-A1_Arlington_VA_22206_M54502-93285,https://ap.rdcpix.com/c1ad3a9df31a99138d9c2c6f3c48abe7l-m2309230175x.jpg,"38.838190000000004,-77.09898000000001",12.0,4.375,2.0,Ali's Bar; Carlyle; Busboys And Poets; Cheesetique Shirlington; Ramparts Tavern & Grill,48.0,4.144680851063831,1.5121951219512195,Best Buns Bread Company; Carlyle; Aroma Restaurant; Atlantis Pizzeria and Family Restaurant; Busboys And Poets
M6027602378,2922266605,595000,,1.0,1,2.0,898.0,,condo,condos,Arlington,1800 Wilson Blvd Unit 422,22201,38.89342,-77.0791,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1800-Wilson-Blvd-Unit-422_Arlington_VA_22201_M60276-02378,https://ap.rdcpix.com/02d6ff61f0afe4600dfa4819dcf2eb17l-m3941765950x.jpg,"38.89342,-77.0791",44.0,4.334883720930233,1.9393939393939394,Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; Screwtop Wine Bar; TTT Rooftop,60.0,4.2,1.7796610169491525,Screwtop Wine Bar; The Italian Store; 1789; Ambar Clarendon; Bakeshop
M5886549930,2922266616,1500000,1.0,3.0,4,5.0,3976.0,7969.0,single_family,,Arlington,5315 10th St N,22205,38.881584000000004,-77.128323,Bluemont,https://www.realtor.com/realestateandhomes-detail/5315-10th-St-N_Arlington_VA_22205_M58865-49930,https://ap.rdcpix.com/1a1e1a540277625adab37439a3bc05a9l-m2172553593x.jpg,"38.881584000000004,-77.128323",21.0,4.189473684210526,1.9285714285714286,"Ballston Service Station; Trade Roots, Fair Trade Gift Shop, Coffee House, & Wine Bar; Westover Market; Lebanese Taverna; Meridian Pint",42.0,4.129268292682927,1.6666666666666667,The Italian Store; La Union Restaurant; Lost Dog Cafe; Pupatella; Stageplate Bistro - Arlington
M6142805071,2922263484,299900,,2.0,2,2.0,1089.0,,condo,condos,Arlington,4501 Arlington Blvd Apt 518,22203,38.869279999999996,-77.10876,Buckingham,https://www.realtor.com/realestateandhomes-detail/4501-Arlington-Blvd-Apt-518_Arlington_VA_22203_M61428-05071,https://ap.rdcpix.com/dfd9f4ccb6064668fc328f1a287b9fc4l-m910435984x.jpg,"38.869279999999996,-77.10876",20.0,4.111764705882353,1.9230769230769231,Ballston Service Station; Crystal Thai Restaurant; Ricky's Pub & Grill; The Bronson Bierhall; Crafthouse,60.0,3.956666666666666,1.537037037037037,Blanca's Snow Cones - Shaved Ice; Pupatella; Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; Sweet Leaf Cafe
M5222658386,2922263482,979000,,3.0,3,3.0,2236.0,7948.0,single_family,,Arlington,1008 N Jefferson St,22205,38.880441999999995,-77.13208900000001,Westover Village,https://www.realtor.com/realestateandhomes-detail/1008-N-Jefferson-St_Arlington_VA_22205_M52226-58386,https://ap.rdcpix.com/eb9b6d41882ed4d3092755b2a1634464l-m1060901745x.jpg,"38.880441999999995,-77.13208900000001",12.0,4.2,2.0,"Trade Roots, Fair Trade Gift Shop, Coffee House, & Wine Bar; Westover Market; Lebanese Taverna; Meridian Pint; Stray Cat Cafe",28.0,4.203703703703703,1.6956521739130435,The Italian Store; La Union Restaurant; Lost Dog Cafe; Pupatella; Stageplate Bistro - Arlington
M5634634084,2922254255,199900,,1.0,1,2.0,997.0,,condo,condos,Arlington,5111 8th Rd S Apt 110,22204,38.858678000000005,-77.11587,Arlington Mill,https://www.realtor.com/realestateandhomes-detail/5111-8th-Rd-S-Apt-110_Arlington_VA_22204_M56346-34084,https://ap.rdcpix.com/a45aafed7b6c132137541417dc49c2f9l-m2955931284x.jpg,"38.858678000000005,-77.11587",8.0,4.187500000000001,1.8333333333333333,"Tobacco King Of Vape, CBD, Kratom; QDOBA Mexican Eats; Crystal Thai Restaurant; LongHorn Steakhouse; Olive Garden Italian Restaurant",33.0,3.981818181818182,1.4516129032258065,Rawal Kabob; Blanca's Snow Cones - Shaved Ice; Pho Golden Star; QDOBA Mexican Eats; The Perfect Pita
M5814013253,2922254271,950000,1.0,3.0,4,4.0,2888.0,4688.0,condo,duplex_triplex,Arlington,2005 S Lincoln St,22204,38.851352,-77.087436,Nauck,https://www.realtor.com/realestateandhomes-detail/2005-S-Lincoln-St_Arlington_VA_22204_M58140-13253,https://ap.rdcpix.com/08e365818ce62b61452f777f99605002l-m108201704x.jpg,"38.851352,-77.087436",17.0,4.376470588235294,1.9285714285714286,Ali's Bar; Tobacco King & Vape King; Carlyle; The Celtic House Irish Pub & Restaurant; Busboys And Poets,73.0,4.139726027397261,1.5689655172413792,Pho Harmony & Grill; Best Buns Bread Company; Tortas Y Tacos La Chiquita; Burrito Bros; Carlyle
M5626439092,2922253458,979000,,3.0,3,4.0,1986.0,4806.0,single_family,,Arlington,216 N Barton St,22201,38.877848,-77.08636,North Arlington,https://www.realtor.com/realestateandhomes-detail/216-N-Barton-St_Arlington_VA_22201_M56264-39092,https://ap.rdcpix.com/e8e4c809926f006184ff127ef2b0318el-m4086277159x.jpg,"38.877848,-77.08636",46.0,4.373913043478261,1.9090909090909092,"Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Screwtop Wine Bar",72.0,4.136111111111109,1.681159420289855,Screwtop Wine Bar; Troy's Italian Kitchen; Ambar Clarendon; Bakeshop; Earl's Sandwiches
M9610612885,2922253279,389900,,1.0,1,2.0,810.0,,condo,townhomes,Arlington,2844A S Wakefield St Unit A,22206,38.842573,-77.09809399999999,South Arlington,https://www.realtor.com/realestateandhomes-detail/2844A-S-Wakefield-St-A_Arlington_VA_22206_M96106-12885,https://ap.rdcpix.com/d42552855773c5e0c227425b5f584218l-m3446606648x.jpg,"38.842573,-77.09809399999999",11.0,4.363636363636363,2.0,Ali's Bar; Carlyle; Busboys And Poets; Cheesetique Shirlington; Samuel Beckett's Irish Gastro Pub,39.0,4.092307692307694,1.5806451612903225,Best Buns Bread Company; Carlyle; Aroma Restaurant; Busboys And Poets; Cheesetique Shirlington
M6593562692,2922252864,475000,,1.0,1,2.0,814.0,,condo,condos,Arlington,1001 N Vermont St Apt 214,22201,38.883012,-77.11431400000001,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/1001-N-Vermont-St-Apt-214_Arlington_VA_22201_M65935-62692,https://ap.rdcpix.com/3836fef50282943eae2a920339fb8248l-m2645899980x.jpg,"38.883012,-77.11431400000001",29.0,4.173076923076923,2.0,"Ballston Service Station; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Northside Social Coffee & Wine; Spirits of '76; Utahime Asian Bistro & Bar",59.0,4.043103448275861,1.6851851851851851,La Union Restaurant; Northside Social Coffee & Wine; Pupatella; Spirits of '76; Stageplate Bistro - Arlington
M5150602471,2922250804,719999,1.0,2.0,3,2.0,1400.0,,condo,townhomes,Arlington,1505 12th St N Unit A,22209,38.88831,-77.07444,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1505-12th-St-N-A_Arlington_VA_22209_M51506-02471,https://ap.rdcpix.com/f5548c31a6371cdb40aa5821e3154f23l-m758618557x.jpg,"38.88831,-77.07444",25.0,4.262499999999999,1.8095238095238095,Arlington Pub; Galaxy Hut; Verre Wine Bar; Green Pig Bistro; Ireland's Four Courts,37.0,4.175675675675675,1.6571428571428573,Bakeshop; Earl's Sandwiches; Genji Express; Green Pig Bistro; Mele Bistro
M5993117349,2922250162,1675000,1.0,2.0,3,2.0,1814.0,,condo,condos,Arlington,1881 N Nash St Unit 1210,22209,38.89691,-77.07319,North Rosslyn,https://www.realtor.com/realestateandhomes-detail/1881-N-Nash-St-Unit-1210_Arlington_VA_22209_M59931-17349,https://ap.rdcpix.com/0359373ad3086704bae3de744114c840l-m525634156x.jpg,"38.89691,-77.07319",54.0,4.232075471698113,2.260869565217391,Rosewood Washington DC; 1789; Blues Alley Club; Chez Billy Sud; City Tavern Club,52.0,4.19423076923077,2.04,1789; Filomena Ristorante; Martin's Tavern; BOURBON STEAK; Mele Bistro
M5634833009,2922249244,174900,,1.0,1,1.0,514.0,,condo,condos,Arlington,1021 Arlington Blvd Apt 233,22209,38.89287228,-77.06885279,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1021-Arlington-Blvd-Apt-233_Arlington_VA_22209_M56348-33009,https://ap.rdcpix.com/ed499c7dde21d5b4d202d54abeed19e2l-m1351705284x.jpg,"38.89287228,-77.06885279",48.0,4.238297872340426,2.2857142857142856,Rosewood Washington DC; 1789; Blues Alley Club; Chez Billy Sud; City Tavern Club,44.0,4.211363636363637,2.0930232558139537,1789; Filomena Ristorante; BOURBON STEAK; Mele Bistro; Cafe Milano
M6491934462,2922248420,115000,,1.0,1,0.0,383.0,,condo,condos,Arlington,1021 Arlington Blvd Apt 711,22209,38.89308305,-77.06899895,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1021-Arlington-Blvd-Apt-711_Arlington_VA_22209_M64919-34462,https://ap.rdcpix.com/771b9b5187d4f53c1b138e38da4583eel-m3469418687x.jpg,"38.89308305,-77.06899895",48.0,4.238297872340426,2.2857142857142856,Rosewood Washington DC; 1789; Blues Alley Club; Chez Billy Sud; City Tavern Club,45.0,4.22,2.090909090909091,1789; Filomena Ristorante; Martin's Tavern; BOURBON STEAK; Mele Bistro
M5348689358,2922248387,1499500,1.0,5.0,6,6.0,5037.0,10741.0,single_family,,Arlington,2567 Military Rd,22207,38.905984000000004,-77.109369,Donaldson Run,https://www.realtor.com/realestateandhomes-detail/2567-Military-Rd_Arlington_VA_22207_M53486-89358,https://ap.rdcpix.com/0969bd2d02f0fd48581eb1f4d4765114l-m3884061776x.jpg,"38.905984000000004,-77.109369",1.0,4.1,2.0,Thirsty Bernie,18.0,4.122222222222222,1.6666666666666667,Cafe Colline; Philippine Oriental Market & Deli; The Italian Store; BGR The Burger Joint; Gaijin Ramen Shop
M6594052927,2922247646,999000,1.0,2.0,3,2.0,1743.0,,condo,condos,Arlington,1205 N Garfield St Apt 804,22201,38.8869,-77.09359,North Arlington,https://www.realtor.com/realestateandhomes-detail/1205-N-Garfield-St-Apt-804_Arlington_VA_22201_M65940-52927,https://ap.rdcpix.com/03cbf4b9a6220fa02c35764707e5646cl-m1063869966x.jpg,"38.8869,-77.09359",53.0,4.355769230769231,1.8974358974358974,"Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Screwtop Wine Bar",87.0,4.174712643678162,1.6790123456790123,Philippine Oriental Market & Deli; Screwtop Wine Bar; The Italian Store; Troy's Italian Kitchen; Ambar Clarendon
M6502427926,2922241868,309900,,1.0,1,1.0,622.0,,condo,condos,Arlington,2616G S Arlington Mill Dr Unit 7,22206,38.843427,-77.09514,South Arlington,https://www.realtor.com/realestateandhomes-detail/2616G-S-Arlington-Mill-Dr-7_Arlington_VA_22206_M65024-27926,https://ap.rdcpix.com/694a0c58593849ebb2273c041009ef9cl-m2490668250x.jpg,"38.843427,-77.09514",12.0,4.391666666666667,2.0,Ali's Bar; Tobacco King & Vape King; Carlyle; Busboys And Poets; Cheesetique Shirlington,41.0,4.1121951219512205,1.5757575757575757,Best Buns Bread Company; Carlyle; Aroma Restaurant; Busboys And Poets; Cheesetique Shirlington
M6636979655,2922241854,769999,,2.0,2,3.0,1408.0,4600.0,single_family,,Arlington,3217 6th St S,22204,38.867398,-77.092016,South Arlington,https://www.realtor.com/realestateandhomes-detail/3217-6th-St-S_Arlington_VA_22204_M66369-79655,https://ap.rdcpix.com/38802cfa8d784d6d92ae291e5c2fa1d6l-m518584226x.jpg,"38.867398,-77.092016",9.0,4.300000000000001,1.8333333333333333,Tobacco King & Vape King; The Celtic House Irish Pub & Restaurant; Caspi Restaurant and Lounge; L.A. Bar & Grill; Ricky's Pub & Grill,64.0,4.056249999999999,1.456140350877193,Pho Harmony & Grill; Tortas Y Tacos La Chiquita; Troy's Italian Kitchen; Burrito Bros; The Celtic House Irish Pub & Restaurant
M5855416420,2922241937,1048000,1.0,2.0,3,4.0,2320.0,10390.0,single_family,,Arlington,5128 10th Rd N,22205,38.882095,-77.12524,Bluemont,https://www.realtor.com/realestateandhomes-detail/5128-10th-Rd-N_Arlington_VA_22205_M58554-16420,https://ap.rdcpix.com/f47fa88f353cfa29df41759376ef3194l-m2638770387x.jpg,"38.882095,-77.12524",24.0,4.204761904761905,1.9375,"Ballston Service Station; Trade Roots, Fair Trade Gift Shop, Coffee House, & Wine Bar; Westover Market; Lebanese Taverna; Meridian Pint",51.0,4.071999999999999,1.5909090909090908,The Italian Store; La Union Restaurant; Lost Dog Cafe; Pupatella; Stageplate Bistro - Arlington
M5370606225,2922241800,1700000,1.0,5.0,6,5.0,3864.0,8705.0,single_family,,Arlington,2324 N Quebec St,22207,38.901677,-77.107897,Cherrydale,https://www.realtor.com/realestateandhomes-detail/2324-N-Quebec-St_Arlington_VA_22207_M53706-06225,https://ap.rdcpix.com/c45ead2a779c712000ced100fe7f0f9bl-m1595971240x.jpg,"38.901677,-77.107897",2.0,4.25,1.5,Cowboy Cafe; Thirsty Bernie,21.0,4.076190476190477,1.6111111111111112,Cafe Colline; Philippine Oriental Market & Deli; The Italian Store; BGR The Burger Joint; Cowboy Cafe
M6696876326,2922241813,989999,1.0,2.0,3,2.0,1832.0,,condo,condos,Arlington,1418 N Rhodes St Unit B410,22209,38.890209999999996,-77.07919,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1418-N-Rhodes-St-Apt-410_Arlington_VA_22209_M66968-76326,https://ap.rdcpix.com/8f4f27b6cefe90b9769353f2b988e5b3l-m2194065594x.jpg,"38.890209999999996,-77.07919",49.0,4.310416666666667,1.894736842105263,Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; Screwtop Wine Bar; TTT Rooftop,64.0,4.2015625000000005,1.7377049180327868,Screwtop Wine Bar; Troy's Italian Kitchen; Ambar Clarendon; Bakeshop; Earl's Sandwiches
M5987603793,2922239864,1350000,2.0,3.0,5,4.0,3121.0,2046.0,condo,townhomes,Arlington,1522 N Colonial Ter,22209,38.896993,-77.074936,North Rosslyn,https://www.realtor.com/realestateandhomes-detail/1522-N-Colonial-Ter_Arlington_VA_22209_M59876-03793,,"38.896993,-77.074936",51.0,4.234,2.186046511627907,Rosewood Washington DC; 1789; Blues Alley Club; Chez Billy Sud; City Tavern Club,51.0,4.200000000000001,1.9591836734693877,1789; Earl's Sandwiches; Filomena Ristorante; Martin's Tavern; Mele Bistro
M6771731163,2922239604,730000,,2.0,2,2.0,1104.0,,condo,condos,Arlington,1021 N Garfield St Apt 316,22201,38.8852,-77.09355,North Arlington,https://www.realtor.com/realestateandhomes-detail/1021-N-Garfield-St-Apt-316_Arlington_VA_22201_M67717-31163,https://ap.rdcpix.com/119630b4fe259d7dfeb8f19125a26132l-m4077979131x.jpg,"38.8852,-77.09355",55.0,4.337735849056603,1.8974358974358974,"Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Screwtop Wine Bar",92.0,4.145652173913044,1.6744186046511629,Philippine Oriental Market & Deli; Screwtop Wine Bar; The Italian Store; Troy's Italian Kitchen; Ambar Clarendon
M5251667890,2922237367,672500,,2.0,2,2.0,1074.0,,condo,condos,Arlington,1800 Wilson Blvd Unit 235,22201,38.89342,-77.0791,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1800-Wilson-Blvd-Unit-235_Arlington_VA_22201_M52516-67890,,"38.89342,-77.0791",44.0,4.334883720930233,1.9393939393939394,Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; Screwtop Wine Bar; TTT Rooftop,60.0,4.2,1.7796610169491525,Screwtop Wine Bar; The Italian Store; 1789; Ambar Clarendon; Bakeshop
M6455815387,2922236836,795000,1.0,3.0,4,3.0,1956.0,1029.0,condo,townhomes,Arlington,2126 N Tazewell Ct,22207,38.896834000000005,-77.11506,Waverly Hills,https://www.realtor.com/realestateandhomes-detail/2126-N-Tazewell-Ct_Arlington_VA_22207_M64558-15387,https://ap.rdcpix.com/3f3f61778c644c36ae938db69f127b8dl-m1575495801x.jpg,"38.896834000000005,-77.11506",4.0,4.275,1.75,Cowboy Cafe; The Melting Pot; Thai Thai Restaurant; Thirsty Bernie,40.0,3.964102564102564,1.46875,Cafe Colline; Philippine Oriental Market & Deli; Arlington Kabob; Charga Grill; BGR The Burger Joint
M6684370347,2922235331,465000,,1.0,1,1.0,752.0,,condo,condos,Arlington,851 N Glebe Rd Apt 1103,22203,38.88133,-77.11431,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/851-N-Glebe-Rd-Apt-1103_Arlington_VA_22203_M66843-70347,https://ap.rdcpix.com/a7a5ef875cdbe78e30922476ac28d0dal-m727572603x.jpg,"38.88133,-77.11431",28.0,4.18,2.0,"Ballston Service Station; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Northside Social Coffee & Wine; Spirits of '76; Utahime Asian Bistro & Bar",64.0,4.0174603174603165,1.6271186440677967,La Union Restaurant; Northside Social Coffee & Wine; Pupatella; Spirits of '76; Stageplate Bistro - Arlington
M5115507429,2922221520,235000,,1.0,1,1.0,588.0,,condo,condos,Arlington,2030 N Woodrow St Apt 6,22207,38.897729999999996,-77.11984,Waverly Hills,https://www.realtor.com/realestateandhomes-detail/2030-N-Woodrow-St-Apt-6_Arlington_VA_22207_M51155-07429,https://ap.rdcpix.com/311e4d841997e35465f3a655f51291ddl-m3069346281x.jpg,"38.897729999999996,-77.11984",5.0,4.38,1.75,Todd Alley; Cowboy Cafe; The Melting Pot; Thai Thai Restaurant; Thirsty Bernie,39.0,3.986842105263157,1.4333333333333333,Cafe Colline; Philippine Oriental Market & Deli; Todd Alley; Arlington Kabob; Charga Grill
M5309988081,2922226324,873800,,3.0,3,3.0,2084.0,6000.0,single_family,,Arlington,965 N Potomac St,22205,38.877559999999995,-77.1484,Madison Manor,https://www.realtor.com/realestateandhomes-detail/965-N-Potomac-St_Arlington_VA_22205_M53099-88081,https://ap.rdcpix.com/30b111b32a24fe8c7d3d97c0edd05399l-m934931570x.jpg,"38.877559999999995,-77.1484",14.0,4.323076923076924,1.875,"The Casual Pint of Falls Church; Trade Roots, Fair Trade Gift Shop, Coffee House, & Wine Bar; Cafe H2O; Westover Market; Chasin' Tails",59.0,4.055172413793104,1.4893617021276595,The Italian Store; YUME SUSHI; Banh Cuon Saigon; Lost Dog Cafe; Padaek
